No,Kode_Kecamatan,Kode_Kelurahan,Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT,Tanggal Jatuh Tempo,Daerah
1,320,5,60.0,60.0,823000.0,53960.0,16552.0,5368.0,31/08/2018 ,PADALARANG
2,340,8,800.0,42.0,429000.0,24018.0,17060.0,0.0,31/08/2018 ,CIPEUNDEUY
3,340,8,1172.0,0.0,0.0,23440.0,23770.0,0.0,31/08/2018 ,CIPEUNDEUY
4,340,8,1000.0,0.0,0.0,20000.0,26330.0,0.0,31/08/2018 ,CIPEUNDEUY
5,340,8,1200.0,0.0,0.0,24000.0,8530.0,0.0,31/08/2018 ,CIPEUNDEUY
6,320,6,60.0,21.0,700000.0,52820.0,17682.0,0.0,31/08/2018 ,PADALARANG
7,320,3,4704.0,0.0,0.0,2286144.0,42390.0,0.0,31/08/2018 ,PADALARANG
8,210,9,220.0,75.0,700000.0,56580.0,5363.0,0.0,31/08/2018 ,BATUJAJAR
9,760,3,420.0,85.0,595000.0,160275.0,4590.0,0.0,31/08/2018 ,PARONGPONG
10,320,6,60.0,29.0,700000.0,58420.0,7320.0,0.0,31/08/2018 ,PADALARANG
11,320,6,60.0,29.0,700000.0,58420.0,28910.0,0.0,31/08/2018 ,PADALARANG
12,320,2,2185.0,0.0,0.0,2346690.0,19250.0,0.0,31/08/2018 ,PADALARANG
13,310,3,81.0,36.0,968000.0,99044.0,4290.0,0.0,31/08/2018 ,NGAMPRAH
14,310,4,60.0,21.0,595000.0,64415.0,48384.0,0.0,31/08/2018 ,NGAMPRAH
15,310,4,72.0,36.0,595000.0,85724.0,14639.0,0.0,31/08/2018 ,NGAMPRAH
16,320,6,60.0,29.0,700000.0,58420.0,8494.0,0.0,31/08/2018 ,PADALARANG
17,760,5,360.0,0.0,0.0,670320.0,11490.0,0.0,31/08/2018 ,PARONGPONG
18,310,6,85.0,40.0,50000.0,2000.0,6440.0,0.0,31/08/2018 ,NGAMPRAH
19,320,6,126.0,80.0,823000.0,98050.0,7714.0,0.0,31/08/2018 ,PADALARANG
20,340,8,400.0,0.0,0.0,8000.0,5780.0,0.0,31/08/2018 ,CIPEUNDEUY
21,310,10,23115.0,0.0,0.0,614105.0,21330.0,0.0,31/08/2018 ,NGAMPRAH
22,320,8,70.0,0.0,0.0,14000.0,741130.0,0.0,31/08/2018 ,PADALARANG
23,760,6,26.0,26.0,823000.0,18808.0,637000.0,0.0,31/08/2018 ,PARONGPONG
24,330,7,250.0,0.0,0.0,3500.0,78528.0,25468.0,31/12/2018 ,CIPATAT
25,190,5,450.0,0.0,0.0,3218.0,112184.0,36384.0,31/08/2018 ,GUNUNGHALU
26,340,5,100.0,20.0,429000.0,2000.0,112184.0,36384.0,31/08/2018 ,CIPEUNDEUY
27,340,5,200.0,0.0,0.0,2800.0,112184.0,36384.0,31/08/2018 ,CIPEUNDEUY
28,310,8,365.0,120.0,823000.0,118690.0,151448.0,49118.0,31/08/2018 ,NGAMPRAH
29,180,8,4100.0,0.0,0.0,29315.0,116656.0,14326.0,31/08/2018 ,SINDANGKERTA
30,180,10,1470.0,0.0,0.0,20580.0,102330.0,0.0,31/08/2018 ,SINDANGKERTA
31,760,4,88.0,35.0,429000.0,26399.0,25869.0,1464.0,31/08/2018 ,PARONGPONG
32,310,4,95.0,29.0,700000.0,108340.0,25869.0,1464.0,31/08/2018 ,NGAMPRAH
33,290,2,360.0,0.0,0.0,619920.0,55944.0,18144.0,31/08/2018 ,LEMBANG
34,290,2,354.0,0.0,0.0,609588.0,55944.0,18144.0,31/08/2018 ,LEMBANG
35,290,2,462.0,0.0,0.0,795564.0,55944.0,18144.0,30/11/2020 ,LEMBANG
36,290,2,638.0,0.0,0.0,2197272.0,55944.0,18144.0,31/08/2018 ,LEMBANG
37,290,2,648.0,0.0,0.0,2231712.0,55944.0,18144.0,31/08/2018 ,LEMBANG
38,290,2,722.0,0.0,0.0,2486568.0,55944.0,18144.0,31/08/2018 ,LEMBANG
39,290,2,505.0,0.0,0.0,869610.0,55944.0,18144.0,31/08/2018 ,LEMBANG
40,290,2,669.0,0.0,0.0,2304036.0,99456.0,32256.0,31/08/2018 ,LEMBANG
41,290,2,701.0,0.0,0.0,2414244.0,224416.0,24044.0,31/08/2018 ,LEMBANG
42,290,2,738.0,0.0,0.0,2541672.0,370908.0,0.0,31/08/2018 ,LEMBANG
43,290,2,443.0,0.0,0.0,762846.0,52100.0,0.0,31/08/2018 ,LEMBANG
44,290,2,357.0,0.0,0.0,614754.0,4861.0,521.0,31/08/2018 ,LEMBANG
45,171,6,108.0,0.0,0.0,26244.0,6406.0,686.0,31/08/2018 ,CIHAMPELAS
46,171,6,108.0,0.0,0.0,26244.0,106837.0,13120.0,31/08/2018 ,CIHAMPELAS
47,171,6,108.0,0.0,0.0,26244.0,114919.0,0.0,31/08/2018 ,CIHAMPELAS
48,171,6,126.0,0.0,0.0,30618.0,21143.0,0.0,31/08/2018 ,CIHAMPELAS
49,171,6,108.0,0.0,0.0,26244.0,221760.0,0.0,31/08/2018 ,CIHAMPELAS
50,171,6,108.0,0.0,0.0,26244.0,53760.0,0.0,31/08/2018 ,CIHAMPELAS
51,171,6,108.0,36.0,823000.0,55872.0,914000.0,0.0,31/08/2018 ,CIHAMPELAS
52,171,6,72.0,36.0,823000.0,47124.0,302921.0,37201.0,31/08/2018 ,CIHAMPELAS
53,171,6,121.0,0.0,0.0,29403.0,64360.0,17722.0,31/08/2018 ,CIHAMPELAS
54,171,6,114.0,0.0,0.0,27702.0,105968.0,34368.0,31/08/2018 ,CIHAMPELAS
55,171,6,60.0,31.0,823000.0,40093.0,20115.0,0.0,20/12/2020 ,CIHAMPELAS
56,171,6,60.0,31.0,823000.0,30093.0,25256.0,0.0,31/08/2018 ,CIHAMPELAS
57,171,6,60.0,31.0,823000.0,40093.0,11480.0,0.0,31/08/2018 ,CIHAMPELAS
58,171,6,95.0,0.0,0.0,23085.0,5740.0,0.0,31/08/2018 ,CIHAMPELAS
59,171,6,60.0,31.0,823000.0,40093.0,11480.0,0.0,31/08/2018 ,CIHAMPELAS
60,171,6,72.0,36.0,823000.0,37124.0,15252.0,0.0,31/08/2018 ,CIHAMPELAS
61,171,6,72.0,36.0,823000.0,37124.0,5904.0,0.0,31/08/2018 ,CIHAMPELAS
62,171,6,147.0,0.0,0.0,35721.0,11480.0,0.0,31/08/2018 ,CIHAMPELAS
63,171,6,60.0,31.0,968000.0,34588.0,25720.0,0.0,31/08/2018 ,CIHAMPELAS
64,171,6,60.0,31.0,968000.0,34588.0,40754.0,0.0,31/08/2018 ,CIHAMPELAS
65,171,6,60.0,31.0,968000.0,34588.0,7708.0,0.0,31/08/2018 ,CIHAMPELAS
