Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT
"60.0,60.0,823000.0,53960.0,16552.0,5368.0"
"800.0,42.0,429000.0,24018.0,17060.0,0.0"
"1172.0,0.0,0.0,23440.0,23770.0,0.0"
"1000.0,0.0,0.0,20000.0,26330.0,0.0"
"1200.0,0.0,0.0,24000.0,8530.0,0.0"
"60.0,21.0,700000.0,52820.0,17682.0,0.0"
"4704.0,0.0,0.0,2286144.0,42390.0,0.0"
"220.0,75.0,700000.0,56580.0,5363.0,0.0"
"420.0,85.0,595000.0,160275.0,4590.0,0.0"
"60.0,29.0,700000.0,58420.0,7320.0,0.0"
"60.0,29.0,700000.0,58420.0,28910.0,0.0"
"2185.0,0.0,0.0,2346690.0,19250.0,0.0"
"81.0,36.0,968000.0,99044.0,4290.0,0.0"
"60.0,21.0,595000.0,64415.0,48384.0,0.0"
"72.0,36.0,595000.0,85724.0,14639.0,0.0"
"60.0,29.0,700000.0,58420.0,8494.0,0.0"
"360.0,0.0,0.0,670320.0,11490.0,0.0"
"85.0,40.0,50000.0,2000.0,6440.0,0.0"
"126.0,80.0,823000.0,98050.0,7714.0,0.0"
"400.0,0.0,0.0,8000.0,5780.0,0.0"
"23115.0,0.0,0.0,614105.0,21330.0,0.0"
"70.0,0.0,0.0,14000.0,741130.0,0.0"
"26.0,26.0,823000.0,18808.0,637000.0,0.0"
"250.0,0.0,0.0,3500.0,78528.0,25468.0"
"450.0,0.0,0.0,3218.0,112184.0,36384.0"
"100.0,20.0,429000.0,2000.0,112184.0,36384.0"
"200.0,0.0,0.0,2800.0,112184.0,36384.0"
"365.0,120.0,823000.0,118690.0,151448.0,49118.0"
"4100.0,0.0,0.0,29315.0,116656.0,14326.0"
"1470.0,0.0,0.0,20580.0,102330.0,0.0"
"88.0,35.0,429000.0,26399.0,25869.0,1464.0"
"95.0,29.0,700000.0,108340.0,25869.0,1464.0"
"360.0,0.0,0.0,619920.0,55944.0,18144.0"
"354.0,0.0,0.0,609588.0,55944.0,18144.0"
"462.0,0.0,0.0,795564.0,55944.0,18144.0"
"638.0,0.0,0.0,2197272.0,55944.0,18144.0"
"648.0,0.0,0.0,2231712.0,55944.0,18144.0"
"722.0,0.0,0.0,2486568.0,55944.0,18144.0"
"505.0,0.0,0.0,869610.0,55944.0,18144.0"
"669.0,0.0,0.0,2304036.0,99456.0,32256.0"
